,name,mission_title,hours_mission,decade_of_mission,year_of_mission,sex,year_of_birth,nationality,total_number_of_missions,total_hrs_sum
581,"Baker, Michael A.",STS-52,237.0,1990,1992,male,1953,U.S.,4,965.0
582,"Baker, Michael A.",STS-68,270.0,1990,1994,male,1953,U.S.,4,965.0
583,"Baker, Michael A.",STS-81,245.0,1990,1997,male,1953,U.S.,4,965.0
584,"Reightler, Kenneth S., Jr.",STS-48,120.0,1990,1991,male,1951,U.S.,2,312.0
585,"Reightler, Kenneth S., Jr.",STS-60,192.0,1990,1994,male,1951,U.S.,2,312.0
586,"Aubakirov, Toktar",10,190.0,1990,1991,male,1946,U.S.S.R/Russia,1,190.2
587,"Viehbock, Franz",Soyuz TM13/12,190.2,1990,1991,male,1960,Austria,1,190.2
588,"Henricks, Terence T.",STS-44,166.0,1990,1991,male,1952,U.S.,4,190.75
589,"Henricks, Terence T.",STS-55,239.0,1990,1993,male,1952,U.S.,4,190.75
590,"Henricks, Terence T.",STS-70,214.0,1990,1995,male,1952,U.S.,4,190.75
591,"Henricks, Terence T.",STS-78,405.0,1990,1996,male,1952,U.S.,4,190.75
592,"Voss, James S.",STS-44,166.0,1990,1991,male,1949,U.S.,5,1000.0
593,"Voss, James S.",STS-53,175.0,1990,1992,male,1949,U.S.,5,1000.0
594,"Voss, James S.",STS-69,260.0,1990,1995,male,1949,U.S.,5,1000.0
595,"Voss, James S.",STS-101,236.0,2000,2000,male,1949,U.S.,5,1000.0
596,"Voss, James S.",2,163.0,2000,2001,male,1949,U.S.,5,1000.0
597,"Runco, Mario, Jr.",STS-44,166.0,1990,1991,male,1952,U.S.,3,549.0
598,"Runco, Mario, Jr.",STS-54,143.0,1990,1993,male,1952,U.S.,3,549.0
599,"Runco, Mario, Jr.",STS-77,240.0,1990,1996,male,1952,U.S.,3,549.0
600,"Hennen, Thomas John",STS-44,167.11,1990,1991,male,1952,U.S.,1,167.11
601,"Oswald, Stephen S.",STS-42,193.0,1990,1992,male,1951,U.S.,3,814.0
602,"Oswald, Stephen S.",STS-67,222.0,1990,1993,male,1951,U.S.,3,814.0
603,"Oswald, Stephen S.",STS-42,399.0,1990,1995,male,1951,U.S.,3,814.0
604,"Readdy, William F.",STS-42,193.0,1990,1992,male,1952,U.S.,3,672.0
605,"Readdy, William F.",STS-51,236.0,1990,1993,male,1952,U.S.,3,672.0
606,"Readdy, William F.",STS-79,243.0,1990,1996,male,1952,U.S.,3,672.0
607,"Bondar, Roberta Lynn",STS-42,193.77,1990,1992,female,1945,Canada,1,193.77
