,name,mission_title,hours_mission,decade_of_mission,year_of_mission,sex,year_of_birth,nationality,total_number_of_missions,total_hrs_sum
79,"Berezovoy, Anatoly",Salyut 7,5073.0,1980,1982,male,1942,U.S.S.R/Russia,1,5073.07
80,"Chrétien, Jean-Loup",Salyut 7,190.0,1980,1982,male,1938,France,3,1043.32
81,"Chrétien, Jean-Loup",Mir Aragatz,594.0,1980,1988,male,1938,France,3,1043.32
82,"Chrétien, Jean-Loup",STS-86,259.3,1990,1997,male,1938,France,3,1043.32
83,"Hartsfield, Henry W., Jr.",STS-4,169.0,1980,1982,male,1933,U.S.,3,481.0
84,"Hartsfield, Henry W., Jr.",STS-41-D,144.0,1980,1984,male,1933,U.S.,3,481.0
85,"Hartsfield, Henry W., Jr.",STS-61-A,168.0,1980,1985,male,1933,U.S.,3,481.0
86,"Serebrov, Aleksandr",Salyut 7,189.0,1980,1982,male,1944,U.S.S.R/Russia,4,8950.87
87,"Beregovoi, Georgi",Soyuz 3,94.83,1960,1968,male,1921,U.S.S.R/Russia,1,94.83
88,"Anders, William Alison",Apollo 8,147.0,1960,1968,male,1933,U.S.,1,147.0
89,"Shatalov, Vladimir",Soyuz 4,71.33,1960,1969,male,1927,U.S.S.R/Russia,3,237.92
90,"Shatalov, Vladimir",Soyuz 8,118.0,1960,1969,male,1927,U.S.S.R/Russia,3,237.92
91,"Shatalov, Vladimir",Soyuz 10,47.0,1970,1971,male,1927,U.S.S.R/Russia,3,237.92
92,"Volynov, Boris",Soyuz 5,72.0,1960,1969,male,1934,U.S.S.R/Russia,2,1255.28
93,"Volynov, Boris",Soyuz 21,1182.0,1970,1976,male,1934,U.S.S.R/Russia,2,1255.28
94,"Yeliseyev, Aleksei",Soyuz 5/4,47.0,1960,1969,male,1934,U.S.S.R/Russia,3,214.33
95,"Yeliseyev, Aleksei",Soyuz 8,118.0,1960,1969,male,1934,U.S.S.R/Russia,3,214.33
96,"Yeliseyev, Aleksei",Soyuz 10,47.0,1970,1971,male,1934,U.S.S.R/Russia,3,214.33
97,"Khrunov, Yevgeny",Soyuz 5/4,48.17,1960,1969,male,1933,U.S.S.R/Russia,1,47.75
98,"Schweickart, Russell L.",apollo 9,241.0,1960,1969,male,1935,U.S.,1,241.0
99,"Shonin, Georgi",Soyuz 6,118.0,1960,1969,male,1935,U.S.S.R/Russia,1,118.7
100,"Kubasov, Valeri",Soyuz 6,118.0,1960,1969,male,1935,U.S.S.R/Russia,3,449.95
101,"Kubasov, Valeri",Soyuz 19,142.0,1970,1975,male,1935,U.S.S.R/Russia,3,449.95
102,"Kubasov, Valeri",Soyuz 36/35,188.0,1980,1980,male,1935,U.S.S.R/Russia,3,449.95
103,"Filipchenko, Anatoly",Soyuz 7,118.0,1960,1969,male,1928,U.S.S.R/Russia,2,261.05
104,"Filipchenko, Anatoly",Soyuz 16,142.0,1970,1974,male,1928,U.S.S.R/Russia,2,261.05
105,"Volkov, Vladislav",Soyuz 7,118.0,1960,1969,male,1935,U.S.S.R/Russia,2,689.02
106,"Volkov, Vladislav",Soyuz 11,570.0,1970,1971,male,1935,U.S.S.R/Russia,2,689.02
107,"Gorbatko, Viktor",Soyuz 7,118.0,1960,1969,male,1934,U.S.S.R/Russia,3,732.78
108,"Gorbatko, Viktor",Soyuz 24,425.0,1970,1977,male,1934,U.S.S.R/Russia,3,732.78
109,"Gorbatko, Viktor",Soyuz 37/36,188.0,1980,1980,male,1934,U.S.S.R/Russia,3,732.78
110,"Bean, Alan Lavern",Apollo 12,244.81,1960,1969,male,1932,U.S.,2,1671.75
111,"Bean, Alan Lavern",Skylab 3,1427.23,1970,1973,male,1932,U.S.,2,1671.75
112,"Swigert, John L., Jr.",Apollo 13,142.0,1970,1970,male,1931,U.S.,1,142.0
113,"Haise, Fred W., Jr.",Apollo 13,142.0,1970,1970,male,1933,U.S.,1,142.0
114,"Sevastyanov, Vitali",Soyuz 9,424.0,1970,1970,male,1935,U.S.S.R/Russia,2,1936.3
115,"Sevastyanov, Vitali",Soyuz 18,1511.0,1970,1975,male,1935,U.S.S.R/Russia,2,1936.3
116,"Shepard, Alan B., Jr.",Apollo 14,216.0,1970,1971,male,1923,U.S.,2,216.25
117,"Roosa, Stuart A.",Apollo 14,216.0,1970,1971,male,1933,U.S.,1,216.0
118,"Mitchell, Edgar D.",Apollo 14,216.0,1970,1971,male,1930,U.S.,1,216.0
119,"Rukavishnikov, Nikolai",Soyuz 10,47.0,1970,1971,male,1932,U.S.S.R/Russia,3,237.15
120,"Rukavishnikov, Nikolai",Soyuz 16,142.0,1970,1974,male,1932,U.S.S.R/Russia,3,237.15
121,"Rukavishnikov, Nikolai",Soyuz 33,47.0,1970,1979,male,1932,U.S.S.R/Russia,3,237.15
122,"Dobrovolski, Georgi",Soyuz 11,570.0,1970,1971,male,1928,U.S.S.R/Russia,1,570.35
123,"Patsayev, Viktor",Soyuz 11,570.0,1970,1971,male,1933,U.S.S.R/Russia,1,570.35
124,"Worden, Alfred M.",Apollo 15,295.2,1970,1971,male,1932,U.S.,1,295.2
125,"Irwin, James B.",Apollo 15,295.0,1970,1971,male,1930,U.S.,1,295.0
126,"Mattingly, Thomas K., II",Apollo 16,266.0,1970,1972,male,1936,U.S.,3,508.0
127,"Mattingly, Thomas K., II",STS-4,169.0,1980,1982,male,1936,U.S.,3,508.0
128,"Mattingly, Thomas K., II",STS-151-C,73.0,1980,1985,male,1936,U.S.,3,508.0
129,"Duke, Jr. Charles Moss",Apollo 16,265.0,1970,1972,male,1935,U.S.,1,265.0
130,"Evans, Ronald E.",Apollo 17,301.0,1970,1972,male,1933,U.S.,1,301.0
131,"Schmitt, Harrison H.",Apollo 17,301.0,1970,1972,male,1935,U.S.,1,301.0
132,"Weitz, Paul J.",Skylab-2,267.0,1970,1973,male,1932,U.S.,2,793.22
133,"Weitz, Paul J.",STS-6,120.0,1980,1983,male,1932,U.S.,2,793.22
134,"Kerwin, Joseph P.",Skylab 2,672.0,1970,1973,male,1932,U.S.,1,672.0
135,"Lousma, Jack R.",Skylab 3,1427.0,1970,1973,male,1936,U.S.,2,1619.0
136,"Lousma, Jack R.",STS-3,192.0,1980,1982,male,1936,U.S.,2,1619.0
137,"Garriott, Owen K.",Skylab 3,1427.0,1970,1973,male,1930,U.S.,2,1674.0
138,"Garriott, Owen K.",STS-9,247.0,1980,1983,male,1930,U.S.,2,1674.0
139,"Lazarev, Vasili",Soyuz 12,47.0,1970,1973,male,1928,U.S.S.R/Russia,1,47.25
140,"Makarov, Oleg",Soyuz 12,47.0,1970,1973,male,1933,U.S.S.R/Russia,3,497.33
141,"Makarov, Oleg",Soyuz 27/26,142.0,1970,1978,male,1933,U.S.S.R/Russia,3,497.33
142,"Makarov, Oleg",Soyuz T­3,307.0,1980,1980,male,1933,U.S.S.R/Russia,3,497.33
143,"Carr, Gerald P.",Skylab 4,2017.0,1970,1974,male,1932,U.S.,1,2017.0
144,"Pogue, William R.",Skylab 4,2017.0,1970,1973,male,1930,U.S.,1,2017.0
145,"Gibson, Edward G.",Skylab 4,2017.0,1970,1973,male,1936,U.S.,1,2017.0
146,"Klimuk, Pyotr",Soyuz 13,188.0,1970,1973,male,1942,U.S.S.R/Russia,3,1890.28
147,"Klimuk, Pyotr",Saluyt 4,1511.0,1970,1975,male,1942,U.S.S.R/Russia,3,1890.28
148,"Klimuk, Pyotr",Saluyt 6,190.0,1970,1978,male,1942,U.S.S.R/Russia,3,1890.28
149,"Lebedev, Valentin",Soyuz 13,188.0,1970,1973,male,1942,U.S.S.R/Russia,2,5261.98
150,"Lebedev, Valentin",Salyut 7,5313.0,1980,1982,male,1942,U.S.S.R/Russia,2,5261.98
151,"Artyukhin, Yuri",Soyuz 14,377.0,1970,1974,male,1930,U.S.S.R/Russia,1,377.5
152,"Sarafanov, Gennadi",Soyuz 15,48.0,1970,1974,male,1942,U.S.S.R/Russia,1,48.2
153,"Dyomin, Lev",Soyuz 15,48.0,1970,1974,male,1926,U.S.S.R/Russia,1,48.2
154,"Gubarev, Aleksei",Salyut 4,709.0,1970,1975,male,1931,U.S.S.R/Russia,2,899.6
155,"Gubarev, Aleksei",Salyut 6,190.0,1970,1978,male,1931,U.S.S.R/Russia,2,899.6
156,"Grechko, Georgi",Salyut 4,709.0,1970,1975,male,1931,U.S.S.R/Russia,3,3236.53
157,"Grechko, Georgi",Salyut 6,2314.0,1970,1977,male,1931,U.S.S.R/Russia,3,3236.53
158,"Grechko, Georgi",Soyuz 7,213.0,1980,1985,male,1931,U.S.S.R/Russia,3,3236.53
159,"Brand, Vance D.",ASTP,217.5,1970,1975,male,1931,U.S.,4,746.0
160,"Brand, Vance D.",STS-5,122.25,1980,1982,male,1931,U.S.,4,746.0
161,"Brand, Vance D.",STS-41-B,191.25,1980,1984,male,1931,U.S.,4,746.0
162,"Brand, Vance D.",STS-35,215.0,1990,1990,male,1931,U.S.,4,746.0
163,"Slayton, Donald K.",ASTP,217.47,1970,1975,male,1924,U.S.,1,217.47
164,"Zholobov, Vitali",Soyuz 21,1182.0,1970,1976,male,1937,U.S.S.R/Russia,1,1182.38
165,"Aksyonov, Vladimir",Soyuz 22,189.0,1970,1976,male,1935,U.S.S.R/Russia,2,284.18
166,"Aksyonov, Vladimir",Soyuz T­2,94.0,1980,1980,male,1935,U.S.S.R/Russia,2,284.18
167,"Zudov, Vyacheslav",Soyuz 23,48.0,1970,1976,male,1942,U.S.S.R/Russia,1,48.1
168,"Rozhdestvensky, Valery",Soyuz 23,48.0,1970,1976,male,1939,U.S.S.R/Russia,1,48.1
169,"Glazkov, Yuri",Soyuz 24,425.0,1970,1977,male,1939,U.S.S.R/Russia,1,425.42
170,"Kovalyonok, Vladimir",Soyuz 25,48.0,1970,1977,male,1942,U.S.S.R/Russia,3,5193.13
171,"Kovalyonok, Vladimir",Salyut 6,3350.0,1970,1978,male,1942,U.S.S.R/Russia,3,5193.13
172,"Kovalyonok, Vladimir",Salyut 6,1793.0,1980,1981,male,1942,U.S.S.R/Russia,3,5193.13
173,"Ryumin, Valery",Soyuz 25,48.0,1970,1977,male,1939,U.S.S.R/Russia,4,8921.4
174,"Ryumin, Valery",Salyut 6,4200.0,1970,1979,male,1939,U.S.S.R/Russia,4,8921.4
175,"Ryumin, Valery",Salyut 6,4436.0,1980,1980,male,1939,U.S.S.R/Russia,4,8921.4
176,"Ryumin, Valery",STS­ 91,235.0,1990,1998,male,1939,U.S.S.R/Russia,4,8921.4
177,"Romanenko, Yuri",Soyuz 26/27,2314.0,1970,1977,male,1944,U.S.S.R/Russia,3,10338.35
178,"Romanenko, Yuri",Soyuz 38,188.0,1980,1980,male,1944,U.S.S.R/Russia,3,10338.35
179,"Romanenko, Yuri",2,7835.0,1980,1987,male,1944,U.S.S.R/Russia,3,10338.35
180,"Dzhanibekov, Vladimir",Soyuz 27/26,142.0,1970,1978,male,1942,U.S.S.R/Russia,5,3495.93
181,"Dzhanibekov, Vladimir",Soyuz 39,188.0,1980,1981,male,1942,U.S.S.R/Russia,5,3495.93
182,"Dzhanibekov, Vladimir",Salyut 7,189.0,1980,1982,male,1942,U.S.S.R/Russia,5,3495.93
183,"Dzhanibekov, Vladimir",Salyut 7,283.0,1980,1984,male,1942,U.S.S.R/Russia,5,3495.93
184,"Dzhanibekov, Vladimir",Salyut 7,2691.0,1980,1985,male,1942,U.S.S.R/Russia,5,3495.93
185,Vladimir Remek,Soyuz 28,190.28,1970,1978,male,1948,Czechoslovakia,1,190.28
186,"Ivanchenkov, Aleksandr",Salyut 6,3350.0,1970,1978,male,1940,U.S.S.R/Russia,2,3540.62
187,"Ivanchenkov, Aleksandr",Salyut 7,189.0,1980,1982,male,1940,U.S.S.R/Russia,2,3540.62
188,Miroslaw Hermaszewske,Soyuz 30,190.03,1970,1978,male,1941,Poland,1,190.03
189,"Jahn, Sigmund",Soyuz 31,188.82,1970,1978,male,1937,Germany,1,188.82
190,"Lyakhov, Vladimir",Salyut 6,4200.0,1970,1979,male,1941,U.S.S.R/Russia,3,7999.78
191,"Lyakhov, Vladimir",Salyut 7,3586.0,1980,1983,male,1941,U.S.S.R/Russia,3,7999.78
192,"Lyakhov, Vladimir",3,212.0,1980,1988,male,1941,U.S.S.R/Russia,3,7999.78
193,Georgi Ivanov,Soyuz 33,47.0,1970,1979,male,1940,Bulgaria,1,47.0
194,"Popov, Leonid",Salyut 6,4436.0,1980,1980,male,1945,U.S.S.R/Russia,3,4814.75
195,"Popov, Leonid",Salyut 6,188.0,1980,1981,male,1945,U.S.S.R/Russia,3,4814.75
196,"Popov, Leonid",Salyut 7,189.0,1980,1982,male,1945,U.S.S.R/Russia,3,4814.75
197,Bertalan Farkas,Soyuz 36/35,188.75,1980,1980,male,1949,Hungry,1,188.75
198,"Malyshev, Yuri",Salyut 7,94.0,1980,1980,male,1941,U.S.S.R/Russia,2,283.98
199,"Malyshev, Yuri",Salyut 7,189.0,1980,1984,male,1941,U.S.S.R/Russia,2,283.98
200,Pham Tuan,Salyut 6,188.7,1980,1980,male,1947,Vietnam,1,188.7
201,Arnaldo Tamayo Mendez,Soyuz 38,1887.71,1980,1980,male,1942,Cuba,1,188.71
202,"Kizim, Leonid",Salyut 6,307.0,1980,1980,male,1941,U.S.S.R/Russia,3,8993.93
203,"Kizim, Leonid",Salyut 7,5686.0,1980,1984,male,1941,U.S.S.R/Russia,3,8993.93
204,"Kizim, Leonid",1,3000.0,1980,1986,male,1941,U.S.S.R/Russia,3,8993.93
205,"Strekalov, Gennadi",Salyut 6,307.0,1980,1980,male,1940,U.S.S.R/Russia,5,6454.37
206,"Strekalov, Gennadi",Soyuz T­8,48.0,1980,1983,male,1940,U.S.S.R/Russia,5,6454.37
207,"Strekalov, Gennadi",Salyut 7,189.0,1980,1984,male,1940,U.S.S.R/Russia,5,6454.37
208,"Strekalov, Gennadi",7,3140.0,1990,1990,male,1940,U.S.S.R/Russia,5,6454.37
209,"Strekalov, Gennadi",18,2768.0,1990,1995,male,1940,U.S.S.R/Russia,5,6454.37
210,"Savinykh, Viktor",Salyut 6,1793.0,1980,1981,male,1940,U.S.S.R/Russia,3,6065.63
211,"Serebrov, Aleksandr",Soyuz T­8,48.0,1980,1983,male,1944,U.S.S.R/Russia,4,8950.87
212,"Serebrov, Aleksandr",5,3990.0,1990,1990,male,1944,U.S.S.R/Russia,4,8950.87
213,"Serebrov, Aleksandr",14,4721.0,1990,1993,male,1944,U.S.S.R/Russia,4,8950.87
214,"Savitskaya, Svetlana",Salyut 7,189.0,1980,1982,female,1948,U.S.S.R/Russia,2,473.1
215,"Savitskaya, Svetlana",Salyut 7,283.0,1980,1984,female,1948,U.S.S.R/Russia,2,473.1
216,"Overmyer, Robert F.",STS-5,122.0,1980,1982,male,1936,U.S.,2,290.0
217,"Overmyer, Robert F.",STS-51-B,168.0,1980,1985,male,1936,U.S.,2,290.0
218,"Allen, Joseph P.",STS-5,122.0,1980,1982,male,1937,U.S.,2,314.0
219,"Allen, Joseph P.",STS-51-A,191.0,1980,1984,male,1937,U.S.,2,314.0
220,"Lenoir, William B.",STS-5,122.0,1980,1982,male,1939,U.S.,1,122.0
221,"Bobko, Karol J.",STS-6,122.0,1980,1983,male,1937,U.S.,3,386.0
222,"Bobko, Karol J.",STS-51-D,236.0,1980,1985,male,1937,U.S.,3,386.0
223,"Bobko, Karol J.",STS-51-J,98.0,1980,1985,male,1937,U.S.,3,386.0
224,"Peterson, Donald H.",STS-6,120.0,1980,1983,male,1933,U.S.,1,120.0
225,"Musgrave, Franklin Story",STS-6,120.0,1980,1983,male,1935,U.S.,6,1281.0
226,"Musgrave, Franklin Story",STS-51F,191.0,1980,1985,male,1935,U.S.,6,1281.0
227,"Musgrave, Franklin Story",STS-33,168.0,1980,1989,male,1935,U.S.,6,1281.0
228,"Musgrave, Franklin Story",STS-44,167.0,1990,1991,male,1935,U.S.,6,1281.0
229,"Musgrave, Franklin Story",STS-61,260.0,1990,1993,male,1935,U.S.,6,1281.0
230,"Musgrave, Franklin Story",STS-80,424.0,1990,1996,male,1935,U.S.,6,1281.0
231,"Titov, Vladimir",Soyuz T­8,48.0,1980,1983,male,1947,U.S.S.R/Russia,4,9288.75
232,"Titov, Vladimir",3,8782.0,1980,1988,male,1947,U.S.S.R/Russia,4,9288.75
233,"Titov, Vladimir",STS­63,198.0,1990,1995,male,1947,U.S.S.R/Russia,4,9288.75
234,"Titov, Vladimir",24,259.0,1990,1997,male,1947,U.S.S.R/Russia,4,9288.75
235,"Hauck, Frederick H.",STS-7,146.0,1980,1983,male,1941,U.S.,3,434.0
236,"Hauck, Frederick H.",STS-51-A,191.0,1980,1984,male,1941,U.S.,3,434.0
237,"Hauck, Frederick H.",STS-26,97.0,1980,1988,male,1941,U.S.,3,434.0
238,"Fabian, John M.",STS-7,146.0,1980,1983,male,1939,U.S.,2,316.0
239,"Fabian, John M.",STS-51-G,170.0,1980,1985,male,1939,U.S.,2,316.0
240,"Ride, Sally K.",STS-7,147.0,1980,1983,female,1951,U.S.,2,343.0
241,"Ride, Sally K.",STS-41-G,197.0,1980,1984,female,1951,U.S.,2,343.0
242,"Thagard, Norman E.",STS-7,147.0,1980,1983,male,1943,U.S.,5,3373.4
243,"Thagard, Norman E.",STS-51B,168.0,1980,1985,male,1943,U.S.,5,3373.4
244,"Thagard, Norman E.",STS-30,97.0,1980,1989,male,1943,U.S.,5,3373.4
245,"Thagard, Norman E.",STS-42,192.0,1990,1992,male,1943,U.S.,5,3373.4
246,"Thagard, Norman E.",18,2760.0,1990,1995,male,1943,U.S.,5,3373.4
247,"Aleksandrov, Aleksandr",Salyut 7,3586.0,1980,1983,male,1943,U.S.S.R/Russia,2,7434.03
248,"Aleksandrov, Aleksandr",2,3847.0,1980,1987,male,1943,U.S.S.R/Russia,2,7434.03
249,"Brandenstein, Daniel C.",STS-8,145.0,1980,1983,male,1943,U.S.,4,789.0
250,"Brandenstein, Daniel C.",STS-51-G,170.0,1980,1985,male,1943,U.S.,4,789.0
251,"Brandenstein, Daniel C.",STS-32,261.0,1990,1990,male,1943,U.S.,4,789.0
252,"Brandenstein, Daniel C.",STS-49,213.0,1990,1992,male,1943,U.S.,4,789.0
253,"Bluford, Guion S., Jr.",STS-8,31.0,1980,1983,male,1942,U.S.,4,688.0
254,"Bluford, Guion S., Jr.",STS-61-A,168.0,1980,1985,male,1942,U.S.,4,688.0
255,"Bluford, Guion S., Jr.",STS-39,199.0,1990,1991,male,1942,U.S.,4,688.0
256,"Bluford, Guion S., Jr.",STS-53,175.0,1990,1992,male,1942,U.S.,4,688.0
257,"Gardner, Dale A.",STS-8,145.0,1980,1983,male,1948,U.S.,2,336.0
258,"Gardner, Dale A.",STS-51A,191.0,1980,1984,male,1948,U.S.,2,336.0
259,"Thornton, William E.",STS-8,145.0,1980,1983,male,1929,U.S.,2,313.26
260,"Thornton, William E.",STS-51-B,169.0,1980,1985,male,1929,U.S.,2,313.26
261,"Shaw, Brewster H., Jr.",STS-9,247.75,1980,1983,male,1945,U.S.,3,533.75
262,"Shaw, Brewster H., Jr.",STS-61-B,165.0,1980,1985,male,1945,U.S.,3,533.75
263,"Shaw, Brewster H., Jr.",STS-28,121.0,1980,1989,male,1945,U.S.,3,533.75
264,"Parker, Robert A. R.",STS-9,248.0,1980,1983,male,1936,U.S.,2,463.0
265,"Parker, Robert A. R.",STS-35,215.0,1990,1990,male,1936,U.S.,2,463.0
266,"Lichtenberg, Byron Kurt",Spacelab 1,247.94,1980,1983,male,1948,U.S.,2,462.31
267,"Lichtenberg, Byron Kurt",Atlas-1,214.37,1990,1992,male,1948,U.S.,2,462.31
268,"Merbold, Ulf",STS-9,248.0,1980,1983,male,1941,Germany,3,1197.6
269,"Merbold, Ulf",STS-42,193.0,1990,1992,male,1941,Germany,3,1197.6
270,"Merbold, Ulf",Euromir 94,756.6,1990,1994,male,1941,Germany,3,1197.6
271,"Gibson, Robert L.",STS-41-B,191.25,1980,1984,male,1946,U.S.,5,868.13
272,"Gibson, Robert L.",STS-61-C,146.0,1980,1986,male,1946,U.S.,5,868.13
273,"Gibson, Robert L.",STS-27,105.0,1980,1988,male,1946,U.S.,5,868.13
274,"Gibson, Robert L.",STS-47,190.5,1990,1992,male,1946,U.S.,5,868.13
275,"Gibson, Robert L.",STS-71,235.38,1990,1995,male,1946,U.S.,5,868.13
276,"McNair, Ronald E.",STS-41-B,191.0,1980,1984,male,1950,U.S.,2,191.0
277,"McNair, Ronald E.",STS-51-L,0.0,1980,1986,male,1950,U.S.,2,191.0
278,"Stewart, Robert L.",STS-41 B,191.5,1980,1984,male,1942,U.S.,2,289.2
279,"Stewart, Robert L.",STS-51 J,97.7,1980,1985,male,1942,U.S.,2,289.2
280,"McCandless, Bruce, II",STS-41-B,191.0,1980,1984,male,1937,U.S.,2,312.0
281,"McCandless, Bruce, II",STS-31,121.0,1990,1990,male,1937,U.S.,2,312.0
282,"Solovyov, Vladimir",Salyut 7,5686.0,1980,1984,male,1946,U.S.S.R/Russia,2,8686.82
283,"Solovyov, Vladimir",1,3000.0,1980,1986,male,1946,U.S.S.R/Russia,2,8686.82
284,"Atkov, Oleg",Salyut 7,5686.0,1980,1984,male,1949,U.S.S.R/Russia,1,5686.82
285,Rakesh Sharma,Salyut 7,4365.8,1980,1984,male,1949,India,1,4365.8
286,"Scobee, Francis R.",STS-41-C,168.0,1980,1984,male,1939,U.S.,2,168.0
287,"Scobee, Francis R.",STS-51-L,0.0,1980,1986,male,1939,U.S.,2,168.0
288,"Hart, Terry J.",STS-41-C,167.67,1980,1984,male,1946,U.S.,1,167.67
289,"Van Hoften, James D. A.",STS-41 C,167.0,1980,1984,male,1944,U.S.,2,337.95
290,"Van Hoften, James D. A.",STS-51I,171.0,1980,1985,male,1944,U.S.,2,337.95
291,"Nelson, George D.",STS-41C,168.0,1980,1984,male,1950,U.S.,3,411.0
292,"Nelson, George D.",STS-61C,146.0,1980,1986,male,1950,U.S.,3,411.0
293,"Nelson, George D.",STS-26,97.0,1980,1988,male,1950,U.S.,3,411.0
294,"Volk, Igor",Salyut 7,283.0,1980,1984,male,1937,U.S.S.R/Russia,1,283.23
295,"Coats, Michael L.",STS-41-D,145.0,1980,1984,male,1952,U.S.,3,464.0
296,"Coats, Michael L.",STS-29,120.0,1980,1989,male,1952,U.S.,3,464.0
297,"Coats, Michael L.",STS-39,199.0,1990,1991,male,1952,U.S.,3,464.0
298,"Mullane, Richard M.",STS-41D,145.0,1980,1984,male,1945,U.S.,3,356.0
299,"Mullane, Richard M.",STS-27,105.0,1980,1988,male,1945,U.S.,3,356.0
300,"Mullane, Richard M.",STS-36,106.0,1990,1990,male,1945,U.S.,3,356.0
301,"Hawley, Steven A.",STS-41-D,144.0,1980,1984,male,1951,U.S.,5,768.0
302,"Hawley, Steven A.",STS-61-C,146.0,1980,1986,male,1951,U.S.,5,768.0
303,"Hawley, Steven A.",STS-31,121.0,1990,1990,male,1951,U.S.,5,768.0
304,"Hawley, Steven A.",STS-82,239.0,1990,1997,male,1951,U.S.,5,768.0
305,"Hawley, Steven A.",STS-93,118.0,1990,1999,male,1951,U.S.,5,768.0
306,"Resnik, Judith A.",STS-41-D,144.0,1980,1984,female,1949,U.S.,2,144.0
307,"Resnik, Judith A.",STS-51-L,0.0,1980,1985,female,1949,U.S.,2,144.0
308,"Walker, Charles David",STS-41D,144.98,1980,1984,male,1948,U.S.,3,478.29
309,"Walker, Charles David",STS-51D,168.15,1980,1985,male,1948,U.S.,3,478.29
310,"Walker, Charles David",STS-61B,165.16,1980,1985,male,1948,U.S.,3,478.29
311,"McBride, Jon A.",STS-41-G,197.0,1980,1984,male,1943,U.S.,1,197.0
312,"Sullivan, Kathryn D.",STS-41-G,197.5,1980,1984,female,1951,U.S.,3,532.0
313,"Sullivan, Kathryn D.",STS-31,121.0,1990,1990,female,1951,U.S.,3,532.0
314,"Sullivan, Kathryn D.",STS-45,213.5,1990,1992,female,1951,U.S.,3,532.0
315,"Leestma, David C.",STS-41-G,197.0,1980,1984,male,1949,U.S.,3,532.0
316,"Leestma, David C.",STS-28,121.0,1980,1989,male,1949,U.S.,3,532.0
317,"Leestma, David C.",STS-45,214.0,1990,1992,male,1949,U.S.,3,532.0
318,"Scully-Power, Paul Desmond",STS-41-G,197.67,1980,1984,male,1944,U.S.,1,197.67
319,"Garneau, Marc Joseph Jean-Pierre",STS-41-G,197.0,1980,1984,male,1949,Canada,3,697.67
320,"Garneau, Marc Joseph Jean-Pierre",STS-77,240.67,1990,1996,male,1949,Canada,3,697.67
321,"Garneau, Marc Joseph Jean-Pierre",STS-97,260.0,2000,2000,male,1949,Canada,3,697.67
322,"Walker, David Mathieson",STS-51-A,191.0,1980,1984,male,1944,U.S.,4,724.45
323,"Walker, David Mathieson",STS-30,96.0,1980,1989,male,1944,U.S.,4,724.45
324,"Walker, David Mathieson",STS-53,175.0,1990,1992,male,1944,U.S.,4,724.45
325,"Walker, David Mathieson",STS-69,44.0,1990,1995,male,1944,U.S.,4,724.45
326,"Fisher, Anna L.",STS-51-A,191.0,1980,1984,female,1949,U.S.,1,191.0
327,"Shriver, Loren J.",STS-51-C,73.5,1980,1985,male,1944,U.S.,3,386.0
328,"Shriver, Loren J.",STS-31,121.0,1990,1990,male,1944,U.S.,3,386.0
329,"Shriver, Loren J.",STS-46,191.0,1990,1992,male,1944,U.S.,3,386.0
330,"Onizuka, Ellison S.",STS 51-C,74.0,1980,1985,male,1946,U.S.,2,74.0
331,"Onizuka, Ellison S.",STS 51-L,0.0,1980,1986,male,1946,U.S.,2,74.0
332,"Buchli, James F.",STS-51-C,73.5,1980,1985,male,1945,U.S.,4,490.0
333,"Buchli, James F.",STS-61-A,168.0,1980,1985,male,1945,U.S.,4,490.0
334,"Buchli, James F.",STS-29,120.0,1980,1989,male,1945,U.S.,4,490.0
335,"Buchli, James F.",STS-48,128.5,1990,1991,male,1945,U.S.,4,490.0
336,"Payton, Gary Eugene",STS-51C,73.675,1980,1985,male,1948,U.S.,1,73.675
337,"Williams, Donald E.",STS-51-D,167.0,1980,1985,male,1942,U.S.,2,286.0
338,"Williams, Donald E.",STS-34,119.0,1980,1989,male,1942,U.S.,2,286.0
339,"Seddon, Margaret Rhea",STS-51-D,168.0,1980,1985,female,1947,U.S.,3,722.0
340,"Seddon, Margaret Rhea",STS-40,218.0,1990,1991,female,1947,U.S.,3,722.0
341,"Seddon, Margaret Rhea",STS-58,336.0,1990,1993,female,1947,U.S.,3,722.0
342,"Griggs, S. David",STS-51-D,168.0,1980,1985,male,1947,U.S.,1,168.0
343,"Hoffman, Jeffrey A.",STS-51-D,167.0,1980,1985,male,1944,U.S.,5,1211.9
344,"Hoffman, Jeffrey A.",STS-35,215.0,1990,1990,male,1944,U.S.,5,1211.9
345,"Hoffman, Jeffrey A.",STS-46,191.0,1990,1992,male,1944,U.S.,5,1211.9
346,"Hoffman, Jeffrey A.",STS-61,259.0,1990,1993,male,1944,U.S.,5,1211.9
347,"Hoffman, Jeffrey A.",STS-75,377.0,1990,1996,male,1944,U.S.,5,1211.9
348,"Garn, Edwin Jacob",STS-51D,168.15,1980,1985,male,1932,U.S.,1,168.15
349,"Gregory, Frederick D.",STS-51-B,168.0,1980,1985,male,1941,U.S.,3,455.0
350,"Gregory, Frederick D.",STS-33,120.0,1980,1989,male,1941,U.S.,3,455.0
351,"Gregory, Frederick D.",STS-44,166.0,1990,1991,male,1941,U.S.,3,455.0
352,"Lind, Don L.",STS-51-B,168.0,1980,1985,male,1930,U.S.,1,168.0
353,"Lodewijk, van der Berg",Spacelab-3,168.525,1980,1985,male,1932,U.S.,1,168.525
354,"Wang, Taylor Gun-Jin",spacelab-3,168.525,1980,1985,male,1940,U.S.,1,168.525
